DIASEMANA,MESOCU,ANOOCU,RHORA,REGION,PROVINCIA,TVIA,TIPOACCIDENTE,SALDOTRAG,MEDIOTRANS,VEHICHOQUE,VEHICUVOLC,VEHICUATRO,VEHICAIDA,VEHIDESLI,ESTRECON,APLASTAM
2,1,2007,6,10,1,1,3,1,25, , ,99, , , , 
3,1,2007,8,3,14,4,1,1,2,5, , , , , , 
4,1,2007,11,1,25,3,1,1,2,1, , , , , , 
4,1,2007,6,8,11,1,1,1,2,4, , , , , , 
4,1,2007,8,9,29,4,1,2,6,6, , , , , , 
4,1,2007,5,9,23,4,3,1,25, , ,1, , , , 
5,1,2007,6,9,29,4,1,1,6,6, , , , , , 
5,1,2007,7,1,18,4,3,1,25, , ,3, , , , 
5,1,2007,10,10,32,1,3,1,25, , ,7, , , , 
6,1,2007,1,1,25,3,1,1,2,1, , , , , , 
6,1,2007,8,7,7,4,1,1,2,2, , , , , , 
6,1,2007,6,2,24,3,1,1,2,2, , , , , , 
6,1,2007,6,8,8,4,1,1,2,4, , , , , , 
6,1,2007,12,10,32,1,3,1,25, , ,1, , , , 
6,1,2007,6,7,22,4,4,1,2, , , ,2, , , 
7,1,2007,1,3,6,2,1,1,2,1, , , , , , 
7,1,2007,1,1,9,4,1,1,2,1, , , , , , 
7,1,2007,1,4,27,4,1,1,2,1, , , , , , 
7,1,2007,5,10,32,4,1,1,2,2, , , , , , 
7,1,2007,9,1,25,2,1,1,2,8, , , , , , 
7,1,2007,11,1,25,3,3,1,25, , ,1, , , , 
7,1,2007,8,1,18,1,6,1,1, , , , , ,99, 
1,1,2007,9,8,11,4,1,1,2,1, , , , , , 
1,1,2007,10,10,32,1,1,1,2,1, , , , , , 
1,1,2007,9,5,2,4,1,1,2,2, , , , , , 
1,1,2007,10,5,21,4,1,1,2,2, , , , , , 
1,1,2007,10,1,25,3,1,2,2,4, , , , , , 
1,1,2007,9,8,12,3,1,1,2,6, , , , , , 
1,1,2007,1,5,17,4,3,1,25, , ,3, , , , 
2,1,2007,1,3,19,4,1,1,1,1, , , , , , 
2,1,2007,5,3,6,2,3,1,25, , ,1, , , , 
2,1,2007,3,10,32,1,3,1,25, , ,1, , , , 
2,1,2007,3,8,11,4,3,1,25, , ,4, , , , 
3,1,2007,12,10,1,1,1,1,1,1, , , , , , 
3,1,2007,10,7,22,4,1,1,2,1, , , , , , 
3,1,2007,11,1,18,4,1,2,3,5, , , , , , 
3,1,2007,12,8,11,1,1,1,4,5, , , , , , 
3,1,2007,6,1,9,3,3,1,25, , ,2, , , , 
3,1,2007,3,2,13,4,3,1,25, , ,99, , , , 
3,1,2007,9,3,6,2,6,1,2, , , , , ,99, 
4,2,2007,5,9,29,4,1,1,2,2, , , , , , 
4,2,2007,1,1,18,3,3,1,25, , ,8, , , , 
4,2,2007,11,3,6,2,3,1,25, , ,99, , , , 
4,2,2007,9,3,6,3,4,1,3, , , ,3, , , 
4,2,2007,12,9,29,4,5,1,4, , , , ,4, , 
5,2,2007,9,4,27,4,1,1,2,2, , , , , , 
4,2,2007,6,8,11,4,1,2,2,4, , , , , , 
5,2,2007,9,3,20,3,1,1,2,4, , , , , , 
5,2,2007,7,5,21,3,3,1,25, , ,99, , , , 
5,2,2007,10,10,32,1,3,1,25, , ,99, , , , 
5,2,2007,4,10,32,1,3,1,25, , ,99, , , , 
6,2,2007,10,1,25,3,1,1,2,1, , , , , , 
6,2,2007,12,5,21,4,1,1,2,3, , , , , , 
6,2,2007,9,6,4,4,1,1,2,8, , , , , , 
7,2,2007,5,5,17,3,1,2,2,1, , , , , , 
7,2,2007,7,1,25,3,1,1,2,7, , , , , , 
1,2,2007,3,1,18,3,2,1,1, ,1, , , , , 
7,2,2007,2,10,1,4,3,1,25, , ,99, , , , 
7,2,2007,8,2,28,3,3,1,25, , ,99, , , , 
7,2,2007,12,2,28,3,3,1,25, , ,99, , , , 
7,2,2007,8,9,30,3,3,1,25, , ,99, , , , 
7,2,2007,2,7,22,3,6,1,2, , , , , ,99, 
1,2,2007,9,10,32,1,1,1,2,4, , , , , , 
1,2,2007,8,5,2,4,3,1,25, , ,8, , , , 
1,2,2007,2,10,32,1,3,1,25, , ,99, , , , 
1,2,2007,6,10,32,1,4,1,2, , , ,2, , , 
2,2,2007,5,1,18,4,1,1,2,1, , , , , , 
2,2,2007,5,2,28,4,2,1,8, ,8, , , , , 
2,2,2007,12,5,21,3,3,1,25, , ,4, , , , 
2,2,2007,1,10,1,2,3,1,25, , ,99, , , , 
2,2,2007,5,5,17,4,4,1,3, , , ,3, , , 
3,2,2007,3,1,25,3,1,1,2,4, , , , , , 
3,2,2007,10,4,27,3,1,1,2,5, , , , , , 
3,2,2007,10,3,20,3,1,1,2,8, , , , , , 
3,2,2007,9,8,11,4,3,1,25, , ,1, , , , 
3,2,2007,7,10,32,1,3,1,25, , ,3, , , , 
3,2,2007,1,10,1,2,3,1,25, , ,99, , , , 
3,2,2007,5,10,32,1,3,1,25, , ,99, , , , 
4,2,2007,11,1,9,4,1,1,2,1, , , , , , 
4,2,2007,12,10,32,1,1,1,2,1, , , , , , 
4,2,2007,6,5,2,4,2,1,8, ,8, , , , , 
4,2,2007,6,1,18,3,3,1,25, , ,2, , , , 
4,2,2007,7,10,32,4,3,1,25, , ,4, , , , 
4,2,2007,10,8,11,4,5,1,2, , , , ,2, , 
4,2,2007,3,9,23,3,6,1,2, , , , , ,99, 
1,2,2007,9,1,9,4,1,1,2,1, , , , , , 
5,2,2007,5,3,14,3,1,1,2,1, , , , , , 
5,2,2007,10,5,21,3,3,1,25, , ,1, , , , 
6,2,2007,9,8,11,4,1,1,2,4, , , , , , 
6,2,2007,12,5,31,3,3,1,25, , ,1, , , , 
6,2,2007,12,9,29,4,3,1,25, , ,2, , , , 
6,2,2007,2,5,21,3,5,1,2, , , , ,2, , 
7,2,2007,10,8,12,4,1,1,2,2, , , , , , 
7,2,2007,9,2,28,3,3,1,25, , ,1, , , , 
7,2,2007,9,9,29,3,4,1,2, , , ,2, , , 
7,2,2007,5,3,6,4,5,1,2, , , , ,2, , 
7,2,2007,11,3,19,3,5,1,2, , , , ,2, , 
1,2,2007,6,10,32,4,1,1,2,2, , , , , , 
1,2,2007,3,10,32,1,3,1,25, , ,1, , , , 
1,2,2007,6,1,9,3,3,1,25, , ,3, , , , 
1,2,2007,5,9,23,3,3,1,25, , ,8, , , , 
1,2,2007,8,10,32,1,3,1,25, , ,99, , , , 
1,2,2007,6,10,32,1,3,1,25, , ,99, , , , 
1,2,2007,10,7,22,4,5,1,2, , , , ,2, , 
6,2,2007,8,6,3,4,1,1,2,6, , , , , , 
2,2,2007,8,3,20,3,2,2,4, ,4, , , , , 
2,2,2007,7,2,28,3,2,1,1, ,1, , , , , 
2,2,2007,9,10,32,1,4,1,4, , , ,4, , , 
2,2,2007,9,8,12,3,5,1,2, , , , ,2, , 
3,2,2007,10,8,12,3,1,1,2,1, , , , , , 
3,2,2007,5,8,8,4,1,1,3,3, , , , , , 
3,2,2007,1,10,32,4,3,1,25, , ,2, , , , 
3,2,2007,6,9,29,3,3,1,25, , ,4, , , , 
3,2,2007,11,10,1,2,3,1,25, , ,99, , , , 
4,2,2007,7,7,22,4,3,1,25, , ,4, , , , 
5,2,2007,9,2,24,3,1,1,2,1, , , , , , 
5,2,2007,9,10,32,2,1,1,2,4, , , , , , 
6,2,2007,12,8,11,3,1,1,2,1, , , , , , 
6,2,2007,11,9,23,3,1,1,2,1, , , , , , 
6,2,2007,9,8,11,3,1,1,2,2, , , , , , 
6,2,2007,10,8,11,4,1,3,2,6, , , , , , 
6,2,2007,11,10,1,2,1,1,2,99, , , , , , 
